,county,Arson_x,Campfire_x,Debris Burning_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Powerline_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Powerline_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,county.1,Total,Brush,Grass,Timber,Woodland,Other,year_x.1,region_x.1,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Power- line,Rail-road,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year_y.1,region_y.1,county_year
0,Alameda,0,0,1,8,0,12,0,1,0,21,2,2,2010,north,12,26,4,2,1,0,0,2010,north,0,0,0,21,0,206,0,100,0,0,516,7,2010,north,850,0,693,0,0,157,2010,north,$0 ,$0 ,$0 ,"$100,400 ",$0 ,"$93,300 ",$0 ,"$20,000 ",$0 ,$0 ,"$50,750 ",$0 ,2010,north ,"$2,500 ","$101,250 ",$100 ,"$110,000 ","$50,600 ",$0 ,$0 ,2010,north,Alameda_2010
1,Amador,0,0,15,4,0,19,0,2,0,0,1,0,2010,north,25,15,1,0,0,0,0,2010,north,0,0,6,7,0,28,0,1,0,0,0,0,2010,north,42,1,31,0,7,3,2010,north,$0 ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Amador_2010
2,Butte,8,1,13,14,0,24,0,3,0,2,18,1,2010,north,38,40,6,1,0,0,0,2010,north,33,0,8,25,0,74,0,0,0,1,48,2,2010,north,190,4,98,14,2,72,2010,north,"$1,500 ",$0 ,$2 ,"$1,350 ",$0 ,"$155,002 ",$0 ,$500 ,$0 ,$0 ,"$301,500 ",$0 ,2010,north ,"$106,000 ","$33,852 ","$320,002 ",$0 ,$0 ,$0 ,$0 ,2010,north,Butte_2010
3,Calaveras,7,2,10,12,2,24,0,8,0,2,18,0,2010,south,45,38,1,1,0,0,0,2010,south,5,2,8,66,2,124,0,6,0,1,16,0,2010,south,229,2,149,7,2,69,2010,south,"$3,200 ",$200 ,"$1,552 ","$42,865 ",$800 ,"$1,175 ",$0 ,"$5,800 ",$0 ,$20 ,"$41,1$51",$0 ,2010,south,"$31,772 ","$53,791 ","$11,200 ",$0 ,$0 ,"$96,763 ","$31,772 ",2010,south,Calaveras_2010
4,Colusa,1,0,1,0,0,0,0,0,0,2,0,0,2010,north,0,4,0,0,0,0,0,2010,north,3,0,3,0,0,0,0,0,0,0,1,0,2010,north,7,0,7,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Colusa_2010
5,Contra Costa,0,1,1,2,0,25,0,1,0,9,1,1,2010,north,26,10,2,2,0,0,0,2010,north,0,0,0,4,0,314,0,1,0,0,87,3,2010,north,409,0,19,180,0,210,2010,north,$0 ,"$5,000 ",$0 ,"$5,000 ",$0 ,"$56,000 ",$0 ,$0 ,$0 ,$0 ,"$8,500 ",$0 ,2010,north ,"$5,000 ","$5,000 ","$8,500 ","$56,000 ",$0 ,$0 ,$0 ,2010,north,Contra Costa_2010
6,Del Norte,6,0,0,0,0,12,0,1,0,0,5,0,2010,north,17,7,0,0,0,0,0,2010,north,20,0,0,0,0,1,0,0,0,0,1,0,2010,north,22,0,18,0,0,4,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Del Norte_2010
7,E. San Joaquin,0,0,0,0,0,1,0,2,0,0,3,1,2010,south,3,3,1,0,0,0,0,2010,south,0,0,0,0,0,3,0,1,0,0,2,10,2010,south,17,0,17,0,0,0,2010,south,$0 ,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,$250 ,$0 ,$0 ,$700 ,"$7,000 ",2010,south,$50 ,"$1,200 ","$7,000 ",$0 ,$0 ,"$8,250 ",$50 ,2010,south,E. San Joaquin_2010
8,E. Stanislaus,7,0,1,3,0,9,0,1,0,2,8,1,2010,south,15,16,1,0,0,0,0,2010,south,50,0,0,6,0,5,0,1,0,1,11,1,2010,south,74,0,71,0,0,3,2010,south,"$19,800 ",$0 ,$0 ,"$1,100 ",$0 ,$400 ,$0 ,"$45,700 ",$0 ,$100 ,"$1,500 ",$200 ,2010,south,$50 ,"$48,950 ","$19,800 ",$0 ,$0 ,"$68,800 ",$50 ,2010,south,E. Stanislaus_2010
9,E. Trinity,0,0,2,2,0,5,0,1,2,2,0,0,2010,north,9,5,0,0,0,0,0,2010,north,0,0,0,9,0,5,0,0,0,2,1,0,2010,north,16,4,2,1,8,1,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,$200 ,"$1,000 ",$0 ,2010,north ,$500 ,"$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,E. Trinity_2010
10,El Dorado,5,0,36,7,0,37,0,3,0,3,17,1,2010,north,69,38,2,0,0,0,0,2010,north,6,0,17,4,0,15,0,71,0,10,10,1,2010,north,133,5,102,1,1,24,2010,north,$0 ,$0 ,"$2,200 ",$0 ,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,"$50,400 ",$0 ,2010,north ,$250 ,"$52,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,El Dorado_2010
11,Fresno,2,0,5,7,0,10,0,6,0,1,19,1,2010,south,13,36,1,1,0,0,0,2010,south,1,0,12,12,0,16,0,7,0,3,308,1,2010,south,360,0,51,1,4,304,2010,south,$0 ,$0 ,"$14,000 ","$6,000 ",$0 ,"$2,222 ",$0 ,$500 ,$0 ,$0 ,"$278,200 ","$1,700 ",2010,south,$0 ,"$24,422 ","$3,200 ","$275,000 ",$0 ,"$302,622 ",$0 ,2010,south,Fresno_2010
12,Glenn,0,0,1,2,0,0,0,0,0,1,0,0,2010,north,0,4,0,0,0,0,0,2010,north,0,0,1,2,0,0,0,0,0,0,5,0,2010,north,8,0,8,0,0,0,2010,north,$0 ,$0 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Glenn_2010
13,Humboldt,4,3,5,6,0,26,0,8,0,3,26,0,2010,north,56,24,0,1,0,0,0,2010,north,3,1,3,3,0,215,0,4,0,0,21,0,2010,north,250,1,231,6,0,12,2010,north,$0 ,"$1,200 ",$0 ,$150 ,$0 ,"$275,020 ",$0 ,$700 ,$0 ,$0 ,"$1,800 ",$0 ,2010,north ,"$276,270 ","$2,600 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Humboldt_2010
14,Inyo,3,0,1,0,1,1,0,1,0,0,6,1,2010,south,12,2,0,0,0,0,0,2010,south,1,0,0,0,0,0,0,0,0,0,1,0,2010,south,3,1,1,0,0,1,2010,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,500 ",2010,south,$0 ,"$7,500 ",$0 ,$0 ,$0 ,"$7,500 ",$0 ,2010,south,Inyo_2010
15,Kings,0,0,0,0,0,0,0,0,0,0,1,0,2010,south,0,1,0,0,0,0,0,2010,south,0,0,0,0,0,0,0,0,0,0,0,0,2010,south,0,0,0,0,0,0,2010,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,south,Kings_2010
16,Lake,4,1,2,10,0,9,0,3,3,12,1,1,2010,north,20,24,0,0,1,0,0,2010,north,0,1,1,10,0,17,0,13,0,0,462,0,2010,north,506,456,38,1,0,11,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,000 ",$0 ,2010,north ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Lake_2010
17,Lassen,2,0,4,2,5,15,0,0,0,2,4,0,2010,north,22,9,2,1,0,0,0,2010,north,10,0,0,76,3,240,0,0,0,1,1,0,2010,north,332,249,71,2,9,1,2010,north,$24 ,$0 ,$2 ,"$60,000 ","$1,201 ","$1,835 ",$0 ,$0 ,$0 ,$18 ,$0 ,$0 ,2010,north ,"$2,863 ",$217 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Lassen_2010
18,Lassen,2,0,4,2,5,15,0,0,0,2,4,0,2010,north,22,9,2,1,0,0,0,2010,north,10,0,0,76,3,240,0,0,0,1,1,0,2010,north,0,0,0,0,0,0,2010,north,$24 ,$0 ,$2 ,"$60,000 ","$1,201 ","$1,835 ",$0 ,$0 ,$0 ,$18 ,$0 ,$0 ,2010,north ,"$2,863 ",$217 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Lassen_2010
19,Madera,0,0,4,3,2,17,0,0,0,0,21,1,2010,south,23,23,2,0,0,0,0,2010,south,0,0,8,4,0,13,0,0,0,0,132,0,2010,south,156,21,128,2,0,5,2010,south,$0 ,$0 ,"$2,000 ",$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,"$2,840 ",$0 ,2010,south,$820 ,"$2,900 ","$1,620 ",$0 ,$0 ,"$5,340 ",$820 ,2010,south,Madera_2010
20,Mariposa,0,0,4,8,0,10,0,2,0,0,6,1,2010,south,10,17,4,0,0,0,0,2010,south,0,0,9,70,0,87,0,5,0,0,4,0,2010,south,175,0,111,0,0,64,2010,south,$0 ,$0 ,"$10,200 ","$5,000 ",$0 ,"$4,996 ",$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2010,south,$100 ,"$15,660 ","$4,536 ",$0 ,$0 ,"$20,296 ",$100 ,2010,south,Mariposa_2010
21,Mendocino,8,1,11,15,0,23,0,4,0,1,23,1,2010,north,45,36,6,0,0,0,0,2010,north,4,0,9,68,0,15,0,3,0,0,134,0,2010,north,235,4,162,9,0,60,2010,north,"$1,210 ",$0 ,$0 ,"$3,700 ",$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,"$6,300 ","$20,000 ",2010,north ,"$21,710 ","$3,200 ","$6,800 ",$0 ,$0 ,$0 ,$0 ,2010,north,Mendocino_2010
22,Mendocino,8,1,11,15,0,23,0,4,0,1,23,1,2010,north,45,36,6,0,0,0,0,2010,north,4,0,9,68,0,15,0,3,0,0,134,0,2010,north,235,4,162,9,0,60,2010,north,"$1,210 ",$0 ,$0 ,"$3,700 ",$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,"$6,300 ","$20,000 ",2010,north ,"$21,710 ","$3,200 ","$6,800 ",$0 ,$0 ,$0 ,$0 ,2010,north,Mendocino_2010
23,Merced,1,0,1,4,0,3,0,3,0,1,14,1,2010,south,6,11,5,4,1,1,0,2010,south,2,0,2,300,0,465,0,164,0,57,"2,067",3,2010,south,3059,0,3040,0,0,19,2010,south,$0 ,$0 ,$0 ,"$2,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$47,000 ",$0 ,2010,south,$0 ,$0 ,"$2,700 ","$3,000 ",$0 ,"$49,700 ",$0 ,2010,south,Merced_2010
24,Modoc,1,0,1,0,5,7,0,0,0,0,2,0,2010,north,10,5,1,0,0,0,0,2010,north,1,0,1,0,82,1,0,0,0,0,1,0,2010,north,86,81,2,1,1,1,2010,north,$8 ,$0 ,$4 ,$0 ,"$1,250 ",$52 ,$0 ,$0 ,$0 ,$0 ,$50 ,$0 ,2010,north ,$204 ,$512 ,$648 ,$0 ,$0 ,$0 ,$0 ,2010,north,Modoc_2010
25,Monterey,3,0,5,10,0,19,0,3,0,1,10,2,2010,south,16,26,11,0,0,0,0,2010,south,4,0,77,105,0,181,0,13,0,2,19,2,2010,south,403,23,370,1,0,9,2010,south,$0 ,$0 ,"$2,000 ","$18,200 ",$0 ,"$7,350 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,2010,south,$0 ,"$1,250 ","$26,500 ",$0 ,$0 ,"$27,750 ",$0 ,2010,south,Monterey_2010
