county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,p-w-f_x,powerline_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,equip._use_y,ltng._y,misc._y,p-w-f_y,powerline_y,railroad_y,smoking_y,undet._y,vehicle_y,year,county.1,brush,grass,timber,woodland,other,year_x.1,region_x.1,arson,campfire,debris_burning,equip._use,ltng.,misc.,p-w-f,power-_line,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.1,region_y.1,county_year
Alameda,0.0,0.0,1.0,8.0,0.0,12.0,0.0,1.0,0.0,21.0,2.0,2.0,2010.0,north,12.0,26.0,4.0,2.0,1.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,21,0.0,206,0.0,100.0,0.0,0.0,516,7.0,2010.0,north,0.0,693.0,0.0,0.0,157.0,2010.0,north,$0 ,$0 ,$0 ,"$100,400 ",$0 ,"$93,300 ",$0 ,"$20,000 ",$0 ,$0 ,"$50,750 ",$0 ,2010.0,north ,"$2,500 ","$101,250 ",$100 ,"$110,000 ","$50,600 ",$0 ,$0 ,2010.0,north,Alameda_2010
Amador,0.0,0.0,15.0,4.0,0.0,19.0,0.0,2.0,0.0,0.0,1.0,0.0,2010.0,north,25.0,15.0,1.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,6.0,7,0.0,28,0.0,1.0,0.0,0.0,0,0.0,2010.0,north,1.0,31.0,0.0,7.0,3.0,2010.0,north,$0 ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Amador_2010
Butte,8.0,1.0,13.0,14.0,0.0,24.0,0.0,3.0,0.0,2.0,18.0,1.0,2010.0,north,38.0,40.0,6.0,1.0,0.0,0.0,0.0,2010.0,north,33.0,0.0,8.0,25,0.0,74,0.0,0.0,0.0,1.0,48,2.0,2010.0,north,4.0,98.0,14.0,2.0,72.0,2010.0,north,"$1,500 ",$0 ,$2 ,"$1,350 ",$0 ,"$155,002 ",$0 ,$500 ,$0 ,$0 ,"$301,500 ",$0 ,2010.0,north ,"$106,000 ","$33,852 ","$320,002 ",$0 ,$0 ,$0 ,$0 ,2010.0,north,Butte_2010
Calaveras,7.0,2.0,10.0,12.0,2.0,24.0,0.0,8.0,0.0,2.0,18.0,0.0,2010.0,south,45.0,38.0,1.0,1.0,0.0,0.0,0.0,2010.0,south,5.0,2.0,8.0,66,2.0,124,0.0,6.0,0.0,1.0,16,0.0,2010.0,south,2.0,149.0,7.0,2.0,69.0,2010.0,south,"$3,200 ",$200 ,"$1,552 ","$42,865 ",$800 ,"$1,175 ",$0 ,"$5,800 ",$0 ,$20 ,"$41,1$51",$0 ,2010.0,south,"$31,772 ","$53,791 ","$11,200 ",$0 ,$0 ,"$96,763 ","$31,772 ",2010.0,south,Calaveras_2010
Colusa,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2010.0,north,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,3.0,0.0,3.0,0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,2010.0,north,0.0,7.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Colusa_2010
Contra Costa,0.0,1.0,1.0,2.0,0.0,25.0,0.0,1.0,0.0,9.0,1.0,1.0,2010.0,north,26.0,10.0,2.0,2.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,4,0.0,314,0.0,1.0,0.0,0.0,87,3.0,2010.0,north,0.0,19.0,180.0,0.0,210.0,2010.0,north,$0 ,"$5,000 ",$0 ,"$5,000 ",$0 ,"$56,000 ",$0 ,$0 ,$0 ,$0 ,"$8,500 ",$0 ,2010.0,north ,"$5,000 ","$5,000 ","$8,500 ","$56,000 ",$0 ,$0 ,$0 ,2010.0,north,Contra Costa_2010
Del Norte,6.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,5.0,0.0,2010.0,north,17.0,7.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,20.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2010.0,north,0.0,18.0,0.0,0.0,4.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Del Norte_2010
E. San Joaquin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,2010.0,south,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2010.0,south,0.0,0.0,0.0,0,0.0,3,0.0,1.0,0.0,0.0,2,10.0,2010.0,south,0.0,17.0,0.0,0.0,0.0,2010.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,$250 ,$0 ,$0 ,$700 ,"$7,000 ",2010.0,south,$50 ,"$1,200 ","$7,000 ",$0 ,$0 ,"$8,250 ",$50 ,2010.0,south,E. San Joaquin_2010
E. Stanislaus,7.0,0.0,1.0,3.0,0.0,9.0,0.0,1.0,0.0,2.0,8.0,1.0,2010.0,south,15.0,16.0,1.0,0.0,0.0,0.0,0.0,2010.0,south,50.0,0.0,0.0,6,0.0,5,0.0,1.0,0.0,1.0,11,1.0,2010.0,south,0.0,71.0,0.0,0.0,3.0,2010.0,south,"$19,800 ",$0 ,$0 ,"$1,100 ",$0 ,$400 ,$0 ,"$45,700 ",$0 ,$100 ,"$1,500 ",$200 ,2010.0,south,$50 ,"$48,950 ","$19,800 ",$0 ,$0 ,"$68,800 ",$50 ,2010.0,south,E. Stanislaus_2010
E. Trinity,0.0,0.0,2.0,2.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,2010.0,north,9.0,5.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,0.0,9,0.0,5,0.0,0.0,0.0,2.0,1,0.0,2010.0,north,4.0,2.0,1.0,8.0,1.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,$200 ,"$1,000 ",$0 ,2010.0,north ,$500 ,"$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,E. Trinity_2010
El Dorado,5.0,0.0,36.0,7.0,0.0,37.0,0.0,3.0,0.0,3.0,17.0,1.0,2010.0,north,69.0,38.0,2.0,0.0,0.0,0.0,0.0,2010.0,north,6.0,0.0,17.0,4,0.0,15,0.0,71.0,0.0,10.0,10,1.0,2010.0,north,5.0,102.0,1.0,1.0,24.0,2010.0,north,$0 ,$0 ,"$2,200 ",$0 ,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,"$50,400 ",$0 ,2010.0,north ,$250 ,"$52,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,El Dorado_2010
Fresno,2.0,0.0,5.0,7.0,0.0,10.0,0.0,6.0,0.0,1.0,19.0,1.0,2010.0,south,13.0,36.0,1.0,1.0,0.0,0.0,0.0,2010.0,south,1.0,0.0,12.0,12,0.0,16,0.0,7.0,0.0,3.0,308,1.0,2010.0,south,0.0,51.0,1.0,4.0,304.0,2010.0,south,$0 ,$0 ,"$14,000 ","$6,000 ",$0 ,"$2,222 ",$0 ,$500 ,$0 ,$0 ,"$278,200 ","$1,700 ",2010.0,south,$0 ,"$24,422 ","$3,200 ","$275,000 ",$0 ,"$302,622 ",$0 ,2010.0,south,Fresno_2010
Glenn,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010.0,north,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2010.0,north,0.0,0.0,1.0,2,0.0,0,0.0,0.0,0.0,0.0,5,0.0,2010.0,north,0.0,8.0,0.0,0.0,0.0,2010.0,north,$0 ,$0 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Glenn_2010
Humboldt,4.0,3.0,5.0,6.0,0.0,26.0,0.0,8.0,0.0,3.0,26.0,0.0,2010.0,north,56.0,24.0,0.0,1.0,0.0,0.0,0.0,2010.0,north,3.0,1.0,3.0,3,0.0,215,0.0,4.0,0.0,0.0,21,0.0,2010.0,north,1.0,231.0,6.0,0.0,12.0,2010.0,north,$0 ,"$1,200 ",$0 ,$150 ,$0 ,"$275,020 ",$0 ,$700 ,$0 ,$0 ,"$1,800 ",$0 ,2010.0,north ,"$276,270 ","$2,600 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Humboldt_2010
Inyo,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,2010.0,south,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2010.0,south,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,2010.0,south,1.0,1.0,0.0,0.0,1.0,2010.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,500 ",2010.0,south,$0 ,"$7,500 ",$0 ,$0 ,$0 ,"$7,500 ",$0 ,2010.0,south,Inyo_2010
Kings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,south,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010.0,south,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2010.0,south,0.0,0.0,0.0,0.0,0.0,2010.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,south,Kings_2010
Lake,4.0,1.0,2.0,10.0,0.0,9.0,0.0,3.0,3.0,12.0,1.0,1.0,2010.0,north,20.0,24.0,0.0,0.0,1.0,0.0,0.0,2010.0,north,0.0,1.0,1.0,10,0.0,17,0.0,13.0,0.0,0.0,462,0.0,2010.0,north,456.0,38.0,1.0,0.0,11.0,2010.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,000 ",$0 ,2010.0,north ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010.0,north,Lake_2010
Lassen,2.0,0.0,4.0,2.0,5.0,15.0,0.0,0.0,0.0,2.0,4.0,0.0,2010.0,north,22.0,9.0,2.0,1.0,0.0,0.0,0.0,2010.0,north,10.0,0.0,0.0,76,3.0,240,0.0,0.0,0.0,1.0,1,0.0,2010.0,north,249.0,71.0,2.0,9.0,1.0,2010.0,north,$24 ,$0 ,$2 ,"$60,000 ","$1,201 ","$1,835 ",$0 ,$0 ,$0 ,$18 ,$0 ,$0 ,2010.0,north ,"$2,863 ",$217 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,2010.0,north,Lassen_2010
Lassen,2.0,0.0,4.0,2.0,5.0,15.0,0.0,0.0,0.0,2.0,4.0,0.0,2010.0,north,22.0,9.0,2.0,1.0,0.0,0.0,0.0,2010.0,north,10.0,0.0,0.0,76,3.0,240,0.0,0.0,0.0,1.0,1,0.0,2010.0,north,0.0,0.0,0.0,0.0,0.0,2010.0,north,$24 ,$0 ,$2 ,"$60,000 ","$1,201 ","$1,835 ",$0 ,$0 ,$0 ,$18 ,$0 ,$0 ,2010.0,north ,"$2,863 ",$217 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,2010.0,north,Lassen_2010
